datetime,v,vw,o,c,h,l,t,n
2023-10-25 14:00:00,9346022.0,171.9803,171.28,172.145,172.96,170.83,1698242400000,182442
2023-10-25 15:00:00,5997323.0,172.4763,172.145,171.74,173.06,171.715,1698246000000,63127
2023-10-25 16:00:00,4488415.0,171.6922,171.74,171.92,172.0,171.33,1698249600000,51495
2023-10-26 10:00:00,51079.0,169.6301,169.33,169.51,169.8,169.25,1698314400000,832
2023-10-26 11:00:00,80415.0,169.3559,169.38,169.6,169.61,169.1,1698318000000,1637
2023-10-26 12:00:00,484230.0,170.5513,169.5387,170.6,171.1,168.16,1698321600000,6579
2023-10-26 13:00:00,7423101.0,170.4123,170.66,169.81,171.3775,169.375,1698325200000,113288
2023-10-26 14:00:00,11204895.0,168.7514,169.78,168.315,170.508,167.89,1698328800000,207509
2023-10-26 15:00:00,9486373.0,167.3229,168.31,167.2682,168.415,166.52,1698332400000,111652
2023-10-26 16:00:00,7161722.0,166.394,167.26,166.075,167.32,165.95,1698336000000,89345
2023-10-27 10:00:00,21530.0,167.2973,167.39,167.0,167.52,167.0,1698400800000,742
2023-10-27 11:00:00,97633.0,166.8752,167.12,166.46,167.3,166.46,1698404400000,2009
2023-10-27 12:00:00,345407.0,166.7988,167.02,167.0898,167.47,166.28,1698408000000,6459
2023-10-27 13:00:00,7881462.0,167.5357,167.0865,167.89,168.42,166.65,1698411600000,112315
2023-10-27 14:00:00,8077657.0,168.1035,167.88,168.435,168.77,167.39,1698415200000,170494
2023-10-27 15:00:00,5001115.0,168.524,168.44,168.37,168.96,168.02,1698418800000,56400
2023-10-27 16:00:00,3764885.0,167.8661,168.35,167.42,168.49,167.29,1698422400000,45832
2023-10-30 10:00:00,47411.0,169.088,169.17,169.19,169.22,168.96,1698660000000,621
2023-10-30 11:00:00,43969.0,169.1851,169.14,169.16,169.3,169.1,1698663600000,963
2023-10-30 12:00:00,253868.0,168.7528,169.16,168.58,169.28,168.35,1698667200000,4997
2023-10-30 13:00:00,7544491.0,170.3309,168.56,170.615,171.17,168.37,1698670800000,117151
2023-10-30 14:00:00,8695022.0,169.9107,170.63,169.4414,170.9,169.21,1698674400000,201401
2023-10-30 15:00:00,4714878.0,169.8409,169.44,169.92,170.2,169.425,1698678000000,55415
2023-10-30 16:00:00,3740315.0,169.5002,169.91,169.37,170.0,169.05,1698681600000,45089
